Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth
ADV,2.203,-0.5231787859883769,-0.5354838382192992,0.6850619,0.0532801591888209,0.044435160852495235,469363520,-0.36424,-0.17802288928466817
ADVM,0.977,-0.4854721692210744,-0.5380434686835636,-4.408714,0.05678998881885795,0.05521333151673872,89182680,-2.29338,0.1545439371372811
ADX,0.9,0.21709972431696478,1.0069450321785478,0.9703666,0.011699710324131272,0.010232915416590731,2722035456,0.1216,0.042935192696903206
ADXN,1.775,-0.15533983998456347,-0.4041096176745893,133.84616,0.059655066779710685,0.06695790301420912,8516613,-0.61912996,1.3004238579801093
AEC,2.528,0.06962959854691109,0.92533327738444,2.1342003,0.09046842290761258,0.09057938976733679,113076440,-0.27383,0.06291153038805143
AEE,0.494,0.22965087371708903,0.4552323547756314,2.3140097,0.01140867780482794,0.012171049144705681,28495796224,0.102189995,0.0922850844966936
AEF,0.885,0.3332869020861555,0.9391068064840078,1.0039251,0.01340770376274566,0.012490812832697084,269999488,0.14571,0.018013061815262296
AEG,0.931,0.1933024775387966,0.9305459298506216,1.2540578,0.018445164291268176,0.0170563040363958,11653533696,0.14955,0.08557899867697236
AEHL,0.945,-0.8561320828984069,-0.9863839287843023,0.11373807,0.1310487291920764,0.09831318510674017,15774825,-0.52099,1.2207549374780882
AEHR,2.478,0.5054037504319726,0.0927549710108535,5.799657,0.06625271951390752,0.058787389442363204,710556032,-0.05435,0.16101694915254236
AEI,1.406,0.37430172657677274,-0.41428567860402055,0.395562,0.09536661327288025,0.07724120361187047,96228616,-0.16628,-0.23395699961369296
AEIS,1.548,0.7578857071715952,1.5378697446451444,5.710945,0.030491915217320083,0.025269481146914838,7184158208,0.07051,-0.11532695520145246
AEM,0.448,0.9162120750408811,3.09556907286418,3.643454,0.02323575036093552,0.021051181280676,82132918272,0.13916,0.045392062576091734
AEMD,1.828,-0.8521341458095957,-0.9883413463830948,0.36814937,0.11467102468332233,0.08731829980304043,3691868,-2.0728998,-0.10750059847329281
AENT,0.507,0.4266666412353515,-0.46553448728240554,2.6406713,0.07364313775152512,0.07095280873241346,272515072,0.15800999,0.05990399399082192
AEO,1.58,-0.20517968738028258,0.5472853018637387,1.7244025,0.04554044894610505,0.03455092421197042,2663699968,0.121709995,0.0766927990569742
AEP,0.464,0.21386958628584707,0.5058346291120728,2.0986416,0.012163423070574497,0.012450129133314381,62715379712,0.13013,0.0661329692606843
AER,1.395,0.2547620293607844,1.3719662370759944,1.1634027,0.015265975278994889,0.015656125569717808,21365075968,0.16865,0.0023489026428069517
